"","Year","Team","G","MP","NFGM","NFGA","PCTFG","N3PM","N3PA","PCT3P","N2PM","N2PA","PCT2P","NFTM","NFTA","PCTFT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"51","2014-15","Brooklyn Nets*",82,243,37.4,83,45.1,6.6,19.9,33.1,30.8,63.1,48.9,16.6,22.2,74.8,10.3,32,42.4,20.9,7,4.1,13.8,19.3,98
"52","2014-15","Milwaukee Bucks*",82,243,37.6,82,45.9,6.6,18.3,36.3,31,63.7,48.6,16,21.1,75.7,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8
"53","2014-15","Minnesota Timberwolves",82,241.5,36.4,83.2,43.8,5,14.9,33.2,31.5,68.3,46.1,20,25.7,77.6,11.6,29.3,40.9,21.6,8.1,4,15,19.2,97.8
"54","2014-15","Indiana Pacers",82,242.1,36.6,83.2,43.9,7.5,21.2,35.2,29.1,62,46.9,16.7,22.2,75.6,10.4,34.4,44.9,21.4,6.2,4.6,14,21.2,97.3
"55","2014-15","Orlando Magic",82,240.9,37.5,82.8,45.3,6.8,19.5,34.7,30.8,63.3,48.6,13.9,19.1,72.9,10,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7
"56","2014-15","Utah Jazz",82,240.3,35.4,79.2,44.7,7.4,21.7,34.3,27.9,57.5,48.6,17,23.5,72.1,12,31.9,44,19.9,7.6,6,15.3,19.3,95.1
"57","2014-15","Miami Heat",82,240.6,35.2,77.2,45.6,6.8,20.2,33.5,28.4,57,49.9,17.5,23.7,74.1,9.1,30,39.1,19.8,7.8,4.5,14.8,20,94.7
"58","2014-15","Charlotte Hornets",82,242.7,35.5,84.5,42,6.1,19.1,31.8,29.5,65.4,45,17,22.8,74.8,10,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2
"59","2014-15","Philadelphia 76ers",82,241.5,33.7,82.6,40.8,8.4,26.3,32,25.3,56.3,44.9,16.1,23.8,67.6,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92
"60","2014-15","New York Knicks",82,242.1,35.1,82,42.8,6.8,19.7,34.7,28.3,62.3,45.4,14.8,19.2,76.9,10.6,29.8,40.4,21.3,7,4.7,14.7,21.6,91.9
"61","2013-14","Los Angeles Clippers*",82,240.9,39.1,82.5,47.4,8.5,24,35.2,30.7,58.5,52.5,21.2,29.1,73,10.5,32.5,43,24.6,8.6,4.8,13.9,21.5,107.9
"62","2013-14","Houston Rockets*",82,241.8,38,80.5,47.2,9.5,26.6,35.8,28.5,54,52.9,22.1,31.1,71.2,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7
"63","2013-14","Minnesota Timberwolves",82,242.1,38.9,87.5,44.4,7.3,21.4,34.1,31.6,66.1,47.8,21.8,28.1,77.8,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9
